"country","hdi2019","pop2021"
"Ecuador","0.7590","17888.4750"
"Azerbaijan","0.7560","10223.3420"
"Dominican Republic","0.7560","10953.7030"
"Moldova","0.7500","4024.0190"
"Algeria","0.7480","44616.6240"
"Lebanon","0.7440","6769.1460"
"Fiji","0.7430","902.9060"
"Dominica","0.7420","72.1670"
"Maldives","0.7400","543.6170"
"Tunisia","0.7400","11935.7660"
"Saint Vincent and the Grenadines","0.7380","111.2630"
"Suriname","0.7380","591.8000"
"Mongolia","0.7370","3329.2890"
"Botswana","0.7350","2397.2410"
"Jamaica","0.7340","2973.4630"
"Jordan","0.7290","10269.0210"
"Paraguay","0.7280","7219.6380"
"Tonga","0.7250","106.7600"
"Libya","0.7240","6958.5320"
"Uzbekistan","0.7200","33935.7630"
"Bolivia","0.7180","11832.9400"
"Philippines","0.7180","111046.9130"
"Indonesia","0.7180","276361.7830"
"Belize","0.7160","404.9140"
"Samoa","0.7150","200.1490"
"Turkmenistan","0.7150","6117.9240"
"Venezuela","0.7110","28704.9540"
"South Africa","0.7090","60041.9940"
"Palestine","0.7080","5222.7480"
"Egypt","0.7070","104258.3270"
"Marshall Islands","0.7040","59.6100"
"Vietnam","0.7040","98168.8330"
"Gabon","0.7030","2278.8250"
"Kyrgyzstan","0.6970","6628.3560"
"Morocco","0.6860","37344.7950"
"Guyana","0.6820","790.3260"
"Iraq","0.6740","41179.3500"
"El Salvador","0.6730","6518.4990"
"Tajikistan","0.6680","9749.6270"
"Guatemala","0.6630","18249.8600"
"Nicaragua","0.6600","6702.3850"
"Bhutan","0.6540","779.8980"
"Namibia","0.6460","2587.3440"
"India","0.6450","1393409.0380"
"Honduras","0.6340","10062.9910"
"Bangladesh","0.6320","166303.4980"
"Kiribati","0.6300","121.3920"
"Sao Tome and Principe","0.6250","223.3680"
"Micronesia","0.6200","116.2540"
"Laos","0.6130","7379.3580"
"Eswatini","0.6110","1172.3620"
"Ghana","0.6110","31732.1290"
"Vanuatu","0.6090","314.4640"
"Timor-Leste","0.6060","1343.8730"
"Nepal","0.6020","29674.9200"
"Kenya","0.6010","54985.6980"
"Cambodia","0.5940","16946.4380"
"Equatorial Guinea","0.5920","1449.8960"
"Zambia","0.5840","18920.6510"
"Myanmar","0.5830","54806.0120"
"Angola","0.5810","33933.6100"
"Republic of the Congo","0.5740","5657.0130"
"Zimbabwe","0.5710","15092.1710"
"Solomon Islands","0.5670","703.9960"
"Syria","0.5670","18275.7020"
"Cameroon","0.5630","27224.2650"
"Pakistan","0.5570","225199.9370"
"Papua New Guinea","0.5550","9119.0100"
"Comoros","0.5540","888.4510"
"Mauritania","0.5460","4775.1190"
"Benin","0.5450","12451.0400"
"Uganda","0.5440","47123.5310"
"Rwanda","0.5430","13276.5130"
"Nigeria","0.5390","211400.7080"
"Ivory Coast","0.5380","27053.6290"
"Tanzania","0.5290","61498.4370"
"Madagascar","0.5280","28427.3280"
"Lesotho","0.5270","2159.0790"
"Djibouti","0.5240","1002.1870"
"Togo","0.5150","8478.2500"
"Senegal","0.5120","17196.3010"
"Afghanistan","0.5110","39835.4280"
"Haiti","0.5100","11541.6850"
"Sudan","0.5100","44909.3530"
"Gambia","0.4960","2486.9450"
"Ethiopia","0.4850","117876.2270"
"Malawi","0.4830","19647.6840"
"Guinea-Bissau","0.4800","2015.4940"
"Liberia","0.4800","5180.2030"
"DR Congo","0.4800","92377.9930"
"Guinea","0.4770","13497.2440"
"Yemen","0.4700","30490.6400"
"Eritrea","0.4590","3601.4670"
"Mozambique","0.4560","32163.0470"
"Sierra Leone","0.4520","8141.3430"
"Burkina Faso","0.4520","21497.0960"
"Mali","0.4340","20855.7350"
"South Sudan","0.4330","11381.3780"
"Burundi","0.4330","12255.4330"
"Chad","0.3980","16914.9850"
"Central African Republic","0.3970","4919.9810"
"Niger","0.3940","25130.8170"
